date,impact_on_final_nav
2023-04-20,-0.07796923447649515
2023-03-06,-0.07697905436582866
2025-10-16,-0.07551669984727237
2025-02-24,-0.07497934624488709
2022-08-02,-0.07485679318732921
2023-04-26,-0.07365645227881193
2021-11-17,-0.07330050179366104
2025-10-30,-0.07279701411902811
2022-01-26,-0.07272275489471666
2021-05-10,-0.07261939372836407
2023-06-21,-0.07261899665332394
2024-09-05,-0.07254600444055999
2025-05-06,-0.07214228299307787
2025-11-06,-0.07182609023584381
2023-11-09,-0.07099478868629287
2023-06-20,-0.07054865745174052
2024-12-05,-0.07051748962858684
2025-03-26,-0.07046034385268353
2023-10-02,-0.06956283071045091
2025-12-08,-0.06941599286083418
2022-12-14,-0.06934652247180365
2023-05-19,-0.06800077726343827
2022-03-30,-0.0675601728627878
2024-06-06,-0.06717031776118586
2025-08-05,-0.06702290000316706
2024-03-08,-0.06677710339722377
2023-12-15,-0.06618756206812654
2024-04-19,-0.06590986121738851
2025-12-23,-0.06558137671409675
2025-08-20,-0.0654323425246145
2023-09-19,-0.06509687663820879
2024-10-25,-0.06505677900383827
2025-10-28,-0.06462133857239193
2023-09-13,-0.06397692166226263
2021-07-27,-0.062148393574720524
2022-06-27,-0.06205417023348755
2024-12-31,-0.06178044393082476
2021-08-19,-0.06141782554069803
2024-06-21,-0.06099852655111476
2025-02-07,-0.06059620008740415
2023-09-20,-0.06053078788981775
2022-09-02,-0.06030580556548373
2022-11-21,-0.06006171814316934
2025-08-25,-0.05958419256372912
2025-02-11,-0.05900655992188705
2023-02-10,-0.058946895208407506
2021-03-02,-0.05857734335362203
2023-08-08,-0.05851637730218675
2024-10-01,-0.05833918863660602
2025-09-24,-0.05773197519324573
2024-11-12,-0.057519245588835435
2024-07-19,-0.05713740481136382
2025-12-30,-0.0570185209221666
2024-10-10,-0.05690846727826763
2024-12-12,-0.056674580684899736
2025-03-13,-0.05662873244648782
2024-06-26,-0.05654994243286815
2021-06-09,-0.056278202495205494
2022-06-29,-0.05549655963547409
2024-07-01,-0.05504447396900214
2024-08-20,-0.0546119264589509
2025-09-02,-0.05436550618986085
2021-09-13,-0.054170454555986236
2021-06-30,-0.054154821887401935
2021-09-10,-0.05383203428751565
