date,ticker,company_name,market_sector,open,high,low,close,adj_close,volume,run_date
23/01/2026,CAT,Caterpillar Inc.,Industrials,644.1199951,646.5,623.5700073,626.6199951,626.6199951,2264200,2026-01-25 21:27:44 UTC
19/01/2026,CB,Chubb Limited,Financial Services,300.0299988,301.4599915,299.0299988,300.769989,300.769989,1745200,2026-01-25 21:27:44 UTC
23/01/2026,CB,Chubb Limited,Financial Services,300.3900146,302.9200134,298.519989,300.9100037,300.9100037,1767000,2026-01-25 21:27:44 UTC
19/01/2026,CBOE,"Cboe Global Markets, Inc.",Financial Services,269.480011,276.4700012,268.1799927,273.5499878,273.5499878,923200,2026-01-25 21:27:44 UTC
23/01/2026,CBOE,"Cboe Global Markets, Inc.",Financial Services,277.1000061,277.7200012,273.8099976,276.3900146,276.3900146,570200,2026-01-25 21:27:44 UTC
19/01/2026,CBRE,"CBRE Group, Inc.",Real Estate,170.2700043,173.0500031,170.1100006,171.5899963,171.5899963,1451100,2026-01-25 21:27:44 UTC
23/01/2026,CBRE,"CBRE Group, Inc.",Real Estate,168.8000031,170.1900024,166.6000061,169.2299957,169.2299957,1067100,2026-01-25 21:27:44 UTC
19/01/2026,CCEP,Coca-Cola Europacific Partners PLC,Consumer Defensive,89.27999878,89.34999847,88.44999695,89.29000092,89.29000092,1970500,2026-01-25 21:27:44 UTC
23/01/2026,CCEP,Coca-Cola Europacific Partners PLC,Consumer Defensive,89.02999878,89.87999725,88.69999695,89.84999847,89.84999847,836600,2026-01-25 21:27:44 UTC
19/01/2026,CCI,Crown Castle Inc.,Real Estate,89.54000092,91.25,89.48000336,90.87000275,90.87000275,3155500,2026-01-25 21:27:44 UTC
23/01/2026,CCI,Crown Castle Inc.,Real Estate,85.80999756,87.05000305,85.26000214,86.59999847,86.59999847,2553100,2026-01-25 21:27:44 UTC
19/01/2026,CCL,Carnival Corporation & plc,Consumer Cyclical,29.44000053,29.48999977,28.79999924,28.92000008,28.92000008,16310400,2026-01-25 21:27:44 UTC
23/01/2026,CCL,Carnival Corporation & plc,Consumer Cyclical,28.35000038,28.87000084,28.19000053,28.54999924,28.54999924,18883400,2026-01-25 21:27:44 UTC
19/01/2026,CDNS,"Cadence Design Systems, Inc.",Technology,321.8299866,322.4700012,314.5,317.4500122,317.4500122,2092000,2026-01-25 21:27:44 UTC
23/01/2026,CDNS,"Cadence Design Systems, Inc.",Technology,315.5,323.5400085,312.0100098,318.3200073,318.3200073,1466800,2026-01-25 21:27:44 UTC
