PS C:\Quant\scripts> & "C:\Quant\quant_freshness_audit.ps1"
=== Quant Freshness Audit ===

=== Freshness Report ===

FileName                                                               Cadence LastUpdated         Status
quant_factor_exposures_summary.csv                                     Daily   30/01/2026 01:11:22 RED
quant_turnover_regime_v1.csv                                           Daily   30/01/2026 01:11:22 RED
quant_attribution_regime_v1.csv                                        Daily   30/01/2026 01:11:37 RED
quant_portfolio_weights_regime_v1.csv                                  Daily   30/01/2026 01:11:40 RED
Build Contract.txt                                                     Daily   30/01/2026 07:17:34 RED
verify_quant_v1_build (2).py                                           Daily   31/01/2026 10:44:25 RED
build_ingestion_parquet_quant_v1.py                                    Daily   31/01/2026 10:52:19 RED
prices.parquet                                                         Daily   31/01/2026 10:52:33 RED
build_fundamentals_and_risk_quant_v1.py                                Daily   31/01/2026 10:58:08 RED
fundamentals.parquet                                                   Daily   31/01/2026 10:58:17 RED
risk_model_backup_before_idio_var.parquet                              Daily   31/01/2026 10:58:17 RED
build_expected_returns_quant_v1.py                                     Daily   31/01/2026 11:05:31 RED
ticker_reference.csv                                                   Daily   31/01/2026 11:32:30 RED
build_securities_master_quant_v1.py                                    Daily   31/01/2026 11:34:05 RED
securities_master.parquet                                              Daily   31/01/2026 11:35:31 RED
expected_returns_quant_v1.parquet                                      Daily   31/01/2026 11:38:30 RED
build_optimiser_regime_quant_v1.py                                     Daily   31/01/2026 11:45:44 RED
patch_risk_model_add_idio_var_quant_v1.py                              Daily   31/01/2026 11:51:18 RED
risk_model.parquet                                                     Daily   31/01/2026 11:51:29 RED
verify_quant_v1_build.py                                               Daily   31/01/2026 11:58:41 RED
build_portfolio_performance_quant_v1.py                                Daily   31/01/2026 12:00:48 RED
portfolio_performance_quant_v1.parquet                                 Daily   31/01/2026 12:02:03 RED
build_factor_exposure_report_quant_v1.py                               Daily   31/01/2026 12:05:04 RED
factor_exposure_report_quant_v1.parquet                                Daily   31/01/2026 12:05:12 RED
build_turnover_regime_quant_v1.py                                      Daily   31/01/2026 12:06:14 RED
turnover_regime_quant_v1.parquet                                       Daily   31/01/2026 12:06:22 RED
cleanup_dashboard_weekly_legacy.py                                     Daily   31/01/2026 12:08:10 RED
build_factor_model_scaffold_quant_v2.py                                Daily   31/01/2026 14:26:04 RED
build_factor_exposures_quant_v2.py                                     Daily   31/01/2026 14:36:12 RED
factor_exposures_quant_v2.parquet                                      Daily   31/01/2026 14:36:40 RED
verify_quant_v2_factor_scaffold.py                                     Daily   31/01/2026 14:37:47 RED
build_factor_returns_quant_v2.py                                       Daily   31/01/2026 14:39:08 RED
factor_returns_quant_v2.parquet                                        Daily   31/01/2026 14:39:17 RED
build_factor_covariance_quant_v2.py                                    Daily   31/01/2026 14:40:16 RED
factor_covariance_quant_v2.parquet                                     Daily   31/01/2026 14:40:26 RED
build_alpha_quant_v2.py                                                Daily   31/01/2026 14:50:58 RED
alpha_quant_v2.parquet                                                 Daily   31/01/2026 14:51:16 RED
portfolio_engine_quant_v2.py                                           Daily   31/01/2026 14:52:43 RED
build_attribution_quant_v2.py                                          Daily   31/01/2026 14:54:46 RED
build_performance_quant_v2.py                                          Daily   31/01/2026 15:05:24 RED
create_performance_file.py                                             Daily   31/01/2026 18:26:42 RED
layout.py                                                              Daily   31/01/2026 18:38:56 RED
scan_diag.py                                                           Daily   01/02/2026 11:13:10 RED
diagnostics_sanity_check.py                                            Daily   01/02/2026 11:16:28 RED
scan_callbacks.py                                                      Daily   01/02/2026 11:26:22 RED
__init__.py                                                            Daily   01/02/2026 11:27:58 RED
performance.py                                                         Daily   01/02/2026 11:35:33 RED
drawdowns.py                                                           Daily   01/02/2026 11:35:46 RED
turnover.py                                                            Daily   01/02/2026 11:35:55 RED
alpha_validation.py                                                    Daily   01/02/2026 11:36:04 RED
factor_risk.py                                                         Daily   01/02/2026 11:36:14 RED
strategy_compare.py                                                    Daily   01/02/2026 11:36:22 RED
layout.cpython-312.pyc                                                 Daily   01/02/2026 12:51:55 RED
__init__.cpython-312.pyc                                               Daily   01/02/2026 12:51:55 RED
performance.cpython-312.pyc                                            Daily   01/02/2026 12:51:55 RED
drawdowns.cpython-312.pyc                                              Daily   01/02/2026 12:51:55 RED
turnover.cpython-312.pyc                                               Daily   01/02/2026 12:51:55 RED
alpha_validation.cpython-312.pyc                                       Daily   01/02/2026 12:51:56 RED
factor_risk.cpython-312.pyc                                            Daily   01/02/2026 12:51:56 RED
strategy_compare.cpython-312.pyc                                       Daily   01/02/2026 12:51:56 RED
dashboard_quant_v2.py                                                  Daily   01/02/2026 14:24:52 RED
dashboard_quant_v2.txt                                                 Daily   01/02/2026 14:24:52 RED
portfolio_quant_v2.parquet                                             Daily   01/02/2026 16:11:42 RED
attribution_quant_v2.parquet                                           Daily   01/02/2026 16:12:36 RED
build_portfolio_quant_v2_from_positions.py                             Daily   01/02/2026 16:25:05 RED
quant_regime_states_v1.csv                                             Daily   02/02/2026 07:30:34 RED
quant_portfolio_weights_ensemble_risk_longshort_v2_trading.csv         Daily   02/02/2026 07:31:57 RED
quant_portfolio_raw_targets_v1.csv                                     Daily   02/02/2026 07:31:59 RED
quant_performance.csv                                                  Daily   02/02/2026 07:32:14 RED
quant_summary.txt                                                      Daily   02/02/2026 07:32:14 RED
performance_quant_v2.parquet                                           Daily   02/02/2026 09:07:55 RED
restore_date_and_run_agg.py                                            Daily   02/02/2026 15:56:04 RED
