date,portfolio_type,gross_turnover,cost_per_unit,daily_return,cost_adjusted_return
2024-05-28,longonly,0.2745098039215672,0.001,0.0024552103489126,0.0021807005449910326
2024-05-29,longonly,0.2745098039215672,0.001,-0.0070553481733364,-0.007329857977257968
2024-05-30,longonly,0.3725490196078412,0.001,0.0057489453234151,0.005376396303807259
2024-05-31,longonly,0.2352941176470576,0.001,0.0028813125506683,0.0026460184330212425
2024-06-03,longonly,0.3137254901960768,0.001,-0.0001243881366954,-0.00043811362689147684
2024-06-04,longonly,0.31372549019607676,0.001,0.0010062738378847,0.0006925483476886232
2024-06-05,longonly,0.3725490196078412,0.001,0.0210015438805314,0.02062899486092356
2024-06-06,longonly,0.294117647058822,0.001,-0.0017319179790973,-0.002026035626156122
2024-06-07,longonly,0.2745098039215672,0.001,-0.0031960256273755,-0.0034705354312970674
2024-06-10,longonly,0.4313725490196056,0.001,0.0158908812592757,0.015459508710256096
2024-06-11,longonly,0.2745098039215672,0.001,0.0027318153469238,0.0024573055430022325
2024-06-12,longonly,0.2549019607843124,0.001,0.0149295497289662,0.014674647768181889
2024-06-13,longonly,0.2745098039215672,0.001,0.0036620304617493,0.0033875206578277326
2024-06-14,longonly,0.2352941176470576,0.001,-0.0039752840072365,-0.004210578124883558
2024-06-17,longonly,0.2549019607843124,0.001,0.012619450690818,0.01236454873003369
2024-06-18,longonly,0.2745098039215672,0.001,0.0125731943474395,0.012298684543517933
2024-06-19,longonly,0.098039215686274,0.001,0.0,-9.803921568627399e-05
2024-06-20,longonly,0.2745098039215672,0.001,-0.0054233276269706,-0.005697837430892167
2024-06-21,longonly,0.1764705882352932,0.001,-0.0016058098933841,-0.001782280481619393
2024-06-24,longonly,0.39215686274509604,0.001,0.0023312426613662,0.0019390857986211038
2024-06-25,longonly,0.3333333333333316,0.001,0.005927545371511,0.005594212038177669
2024-06-26,longonly,0.3137254901960768,0.001,0.0003989664627598,8.524097256372318e-05
2024-06-27,longonly,0.2745098039215672,0.001,0.0061408011057023,0.005866291301780732
2024-06-28,longonly,0.29411764705882204,0.001,0.0031464368672852,0.0028523192202263782
2024-07-01,longonly,0.37254901960784126,0.001,0.0003078839182253,-6.466510138254124e-05
2024-07-02,longonly,0.2745098039215672,0.001,0.0085776130695111,0.008303103265589532
2024-07-03,longonly,0.2352941176470576,0.001,0.0059715175439212,0.005736223426274142
2024-07-04,longonly,0.098039215686274,0.001,0.0,-9.803921568627399e-05
2024-07-05,longonly,0.2352941176470576,0.001,0.0065503628094676,0.006315068691820543
2024-07-08,longonly,0.31372549019607676,0.001,0.0075816072333448,0.0072678817431487235
2024-07-09,longonly,0.196078431372548,0.001,0.0042953429069465,0.004099264475573953
2024-07-10,longonly,0.2745098039215672,0.001,0.0116804656432566,0.011405955839335033
2024-07-11,longonly,0.43137254901960564,0.001,0.0062338607803968,0.005802488231377194
2024-07-12,longonly,0.2549019607843124,0.001,0.0115652279779435,0.011310326017159188
2024-07-15,longonly,0.37254901960784126,0.001,0.0075542519764177,0.007181702956809859
2024-07-16,longonly,0.4509803921568604,0.001,0.0245540935027517,0.02410311311059484
2024-07-17,longonly,0.35294117647058637,0.001,7.379429753089344e-05,-0.0002791468789396929
2024-07-18,longonly,0.2745098039215672,0.001,-0.0029679907257205,-0.0032425005296420673
2024-07-19,longonly,0.2352941176470576,0.001,-6.914127713111341e-05,-0.000304435394778171
2024-07-22,longonly,0.3333333333333316,0.001,0.0133373727577476,0.013004039424414268
2024-07-23,longonly,0.3725490196078412,0.001,0.0051088084952452,0.004736259475637359
2024-07-24,longonly,0.3529411764705864,0.001,-0.0123045238219364,-0.012657464998406988
2024-07-25,longonly,0.5294117647058796,0.001,0.0178053340037647,0.01727592223905882
2024-07-26,longonly,0.392156862745096,0.001,0.0282019772895276,0.027809820426782504
2024-07-29,longonly,0.1568627450980384,0.001,0.0028629307647658,0.002706068019667761
2024-07-30,longonly,0.3333333333333316,0.001,0.01246081527954,0.01212748194620667
2024-07-31,longonly,0.37254901960784126,0.001,0.0093596704618546,0.008987121442246759
2024-08-01,longonly,0.4705882352941152,0.001,0.0001811060903779,-0.0002894821449162152
2024-08-02,longonly,0.392156862745096,0.001,-0.0066833510729011,-0.007075507935646196
2024-08-05,longonly,0.2745098039215672,0.001,-0.0204920165961945,-0.020766526400116066
2024-08-06,longonly,0.4313725490196056,0.001,0.0162169457222768,0.015785573173257194
2024-08-07,longonly,0.2549019607843124,0.001,0.0001794862840236,-7.54156767607124e-05
2024-08-08,longonly,0.31372549019607676,0.001,0.0280179825137247,0.027704257023528623
2024-08-09,longonly,0.3529411764705864,0.001,0.0062352906966209,0.005882349520150314
2024-08-12,longonly,0.2156862745098028,0.001,-0.0002101458451918,-0.0004258321197016028
2024-08-13,longonly,0.2352941176470576,0.001,0.0163645735675964,0.01612927944994934
2024-08-14,longonly,0.1372549019607836,0.001,0.007007251114066,0.006869996212105216
2024-08-15,longonly,0.294117647058822,0.001,0.0135765666064305,0.013282448959371678
